,Price,Units_Sold,COGS,Inventory_Turnover_Ratio,Quarter,Seasonality_Flag,Company_Hyundai India,Company_Maruti Suzuki,Car_Model_Alcazar,Car_Model_Brezza,Car_Model_Creta,Car_Model_Ertiga,Car_Model_Grand Vitara,Car_Model_Nexon,Car_Model_Safari,Car_Model_Swift,Car_Model_Tiago,Car_Model_Tigor,Car_Model_Tucson,Car_Model_Verna,Car_Model_i20,Car_Type_Compact SUV,Car_Type_Hatchback,Car_Type_MPV,Car_Type_Premium SUV,Car_Type_Sedan,Season_Festive,Season_Monsoon
29,1465455.14,10.0,9101353.598,0.12770977870825362,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,574508.41,19.0,7968431.65,-0.2902423583530291,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
31,557197.14,15.0,6101308.68,-0.10022510087272342,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
32,549456.53,19.0,7620962.07,0.4511825286598486,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,555514.3,12.0,4866305.27,-0.8805900050520791,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,563887.67,10.0,4116379.99,-0.7431972167280649,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,710027.49,12.0,6219840.81,-0.7348516383824631,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,704540.05,8.0,4114513.89,-0.48406041385408094,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,724405.2,7.0,3701710.57,-0.5832880613758985,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38,666681.69,11.0,5353453.97,-0.7438983780865539,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,697128.61,6.0,3053423.31,-1.0989650728718259,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,907019.43,18.0,11918235.31,1.692470372051266,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,941430.98,26.0,17868360.0,1.635585477568692,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,866037.43,16.0,10115317.18,0.45073899038795007,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,878910.74,9.0,5774443.56,-0.5198558116140307,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,856319.68,22.0,13752494.06,0.4283983762039491,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1535171.89,13.0,14568781.24,0.8283394630102392,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1493073.46,7.0,7629605.38,-0.20479031154688856,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1502377.35,9.0,9870619.19,0.4477827188010499,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1478344.45,16.0,17267063.18,1.562612785626293,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1545290.18,13.0,14664803.81,2.599055040473552,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1638658.19,8.0,9569763.83,1.6976286526310198,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
51,1666530.28,9.0,10949103.94,1.426369910015306,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52,1693195.18,11.0,13596357.3,1.346278465450472,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
53,1663453.06,5.0,6071603.67,0.12024990028944023,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
54,1575398.09,5.0,5750203.03,0.058567467106791414,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
55,1486659.87,10.0,10852617.05,1.4081813518410424,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1430983.26,7.0,7312324.46,0.5781650651254806,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1507453.58,7.0,7703087.79,0.9880468356135376,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1433501.07,14.0,14650380.94,1.4130610343282297,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1563864.2,11.0,12557829.53,2.018311692427848,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,553210.97,9.0,3634596.07,-1.3442006051810191,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
61,563359.61,9.0,3701272.64,-0.8935865691442241,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
62,573103.56,16.0,6693849.58,-0.7024732938336601,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
63,558850.54,5.0,2039804.47,-1.6624954548614184,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64,552492.61,13.0,5243154.87,-0.5915621199422533,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
65,681958.17,7.0,3484806.25,-1.2494825104886664,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66,671469.2,7.0,3431207.61,-1.2205554236086757,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
67,681380.82,9.0,4476671.99,-0.9185018184302941,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
68,711129.33,2.0,1038248.82,-1.9741447032054178,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,690747.55,10.0,5042457.12,-0.6204827752352263,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,913474.44,16.0,10669381.46,-0.08469471722456742,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,868119.13,19.0,12040812.33,0.16766048662277017,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,932746.17,18.0,12256284.67,1.6750763165404345,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,858634.12,15.0,9402043.61,0.6019823388019104,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,900271.99,11.0,7229184.08,0.061891297753033495,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,1480458.0,11.0,11888077.74,0.2750543163760539,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1555554.0,7.0,7948880.94,0.7654429793712744,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1497263.0,9.0,9837017.91,0.5852017522379381,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1508420.62,10.0,11011470.53,1.5795083880076008,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1491188.76,7.0,7619974.56,-0.30630855134237966,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1569389.78,10.0,11456545.39,1.2431066560326633,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
81,1581126.22,8.0,9233777.12,0.2442292961669466,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
82,1731507.64,6.0,7584003.46,1.203400654364211,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
83,1590086.62,13.2,4643052.93,-0.9643133842614956,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
84,1676884.99,6.0,7344756.26,-0.19137917280568417,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
85,1425190.02,7.0,7282721.0,-0.4266802610999079,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1508814.62,8.0,8811477.38,-0.071061895746834,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1512932.93,8.0,8835528.31,0.20002480034203657,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1525595.19,5.0,5568422.44,-0.6867378761356052,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1532454.32,17.0,19017758.11,0.7017512077829823,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,565001.21,16.0,6599214.13,0.7176536517425288,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
91,540203.63,17.0,6703927.05,0.10301564905164215,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
92,563423.42,7.0,2879093.68,-1.2592136763807493,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
93,531310.64,7.8,5817851.51,-0.7301866688803152,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
94,573400.56,14.0,5860153.72,-0.0010800127375309115,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
95,720394.41,3.0,1577663.76,-1.326706071035674,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
96,724270.52,12.0,6344609.76,-0.3047214397824008,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
97,710283.07,9.0,4666559.77,-0.7967794488355829,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,709636.18,14.0,7252481.76,1.9839710166663158,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99,665355.77,4.0,1942838.85,-1.4371134704772595,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
100,937749.84,14.0,9583803.36,-0.04857776495866911,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,866163.51,16.0,10116789.8,0.3993951406593989,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,892738.93,16.0,10427190.7,0.888258745884424,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,936403.81,15.0,10253621.72,0.287454049971329,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,908889.75,9.0,5971405.66,-0.20050972090729052,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,1579090.51,8.0,9221888.58,-0.1828752438100091,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1608394.22,13.0,15263661.15,1.7158458142851083,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1511475.56,3.0,3310131.48,-1.068199476662718,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1553393.82,5.0,5669887.44,-0.2022369903048992,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1563894.64,11.0,12558073.96,0.15154754901645084,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1640218.08,4.0,4789436.79,-0.8044700973714717,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
111,1626661.48,7.0,8312240.16,-0.20628082556916616,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
112,1711952.26,5.0,6248625.75,0.2179304502295757,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
113,1635317.46,5.0,5968908.73,-0.45331446640994333,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
114,1620845.51,4.0,4732868.89,-0.37714865901089756,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
115,1478819.37,9.0,9715843.26,1.0823538672488133,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1540718.14,11.0,12371966.66,0.6868181150963607,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1490855.04,10.0,10883241.79,0.657582075739569,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1519123.03,10.0,11089598.12,0.9654545907535397,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1500102.95,14.0,15331052.15,0.8421429325950388,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,565101.51,24.0,9900578.46,-0.0016037566936566055,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
121,528622.13,13.0,5016624.01,-0.796980545938841,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
122,526145.66,10.0,3840863.32,-1.1666498722728502,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
123,575996.24,10.0,4204772.55,-1.265162999397045,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
124,574361.89,17.0,7127831.05,-0.46919110690451626,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
125,705403.64,5.0,2574723.29,-1.6091934854572507,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
126,720192.75,7.0,3680184.95,-0.9498424132081883,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
127,666898.03,10.0,4868355.62,-0.43248179460402486,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
128,726128.76,10.2,5830813.94,0.7261459315224977,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
129,698614.24,9.0,4589895.56,0.09997993501447741,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,941427.49,14.0,9621388.95,0.28466898630918,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,873348.66,14.0,8925623.31,1.5483838252032425,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,943778.02,13.0,8956453.41,-0.1374821397520192,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,870127.75,15.0,9527898.86,0.22262871887437136,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,905997.82,15.0,9920676.13,1.4646444723013246,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,1551659.51,12.6,16990671.63,0.912599893836019,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1529149.23,5.0,5581394.69,-0.12846141906051237,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1596645.54,5.0,5827756.22,0.6689430553457052,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1596748.64,8.0,9325012.06,0.06960880580690722,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1490049.44,10.0,10877360.91,0.5667136097559149,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1567508.76,0.0,0.0,-3.4032058288162768,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
141,1576095.27,11.0,12656045.02,1.5576110934646952,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
142,1725670.35,5.0,6298696.78,0.16938241063412965,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
143,1668131.09,9.0,10959621.26,2.126035229107293,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
144,1665541.63,6.0,6663610.814,0.5660544849140586,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
145,1503511.43,14.0,15365886.81,1.1240112721973603,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1515069.51,5.0,5530003.71,0.44658908171282186,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1456893.2,15.0,15952980.54,0.6995091280824193,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1445311.0,9.0,9495693.27,-0.18640370189038794,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1531609.69,10.0,11180750.74,0.6357306508731497,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,575380.57,8.0,3360222.53,-0.4087991131585567,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
151,566970.37,14.0,5794437.18,-0.5155833297575974,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
152,559720.15,12.0,4903148.51,-0.7248460498899088,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
153,546273.57,12.0,4785356.47,-0.9375695834859706,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
154,574586.19,15.0,6291718.78,-0.013202928628111666,1,1.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
155,702361.96,6.0,3076345.38,-1.1807206289725585,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
156,719250.48,6.0,3150317.1,-1.374080797590241,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
157,703879.96,5.0,2569161.85,-0.426763596588684,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
158,683994.44,5.0,2496579.71,-1.2753692529069753,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
159,677129.3,7.0,3460130.72,-1.2756434965728098,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
160,897459.21,10.0,6551452.23,0.6268224721167267,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,871543.73,13.0,8270950.0,0.18271640978314932,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,931910.97,7.4,14966490.18,2.1867399008720114,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,880617.87,22.0,9463552.924,1.364017656437552,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,908047.61,10.0,6628747.55,-0.044056534145386655,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,1549015.73,10.0,11307814.83,0.2200474352848727,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1539899.63,12.0,13489520.76,0.4831299429371536,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1580092.83,5.0,5767338.83,-0.1581577487700627,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1494398.32,9.0,9818196.96,0.02232990500250408,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1564288.58,8.0,9135445.31,-0.09578036434048731,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1730434.41,6.0,7579302.72,0.915957984324768,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
171,1640080.83,3.0,3591777.02,-1.1937905189397657,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
172,1648253.15,13.0,15641922.39,1.3169001149079476,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
173,1617301.57,2.0,2361260.29,-1.4924495561603814,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
