Unnamed: 0,Index,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Month,Quarter,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Day,Company_Hyundai India,Company_Maruti Suzuki,Company_Tata Motors,Car_Model_Alcazar,Car_Model_Baleno,Car_Model_Brezza,Car_Model_Creta,Car_Model_Dzire,Car_Model_Ertiga,Car_Model_Grand Vitara,Car_Model_Harrier,Car_Model_Nexon,Car_Model_Nexon EV,Car_Model_Safari,Car_Model_Swift,Car_Model_Tiago,Car_Model_Tigor,Car_Model_Tucson,Car_Model_Venue,Car_Model_Verna,Car_Model_i20,Car_Type_Compact SUV,Car_Type_Electric SUV,Car_Type_Hatchback,Car_Type_MPV,Car_Type_Premium Hatchback,Car_Type_Premium SUV,Car_Type_SUV,Car_Type_Sedan,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Region_Central,Region_East,Region_North,Region_South,Region_West,Season_Festive,Season_Monsoon,Season_Summer,Season_Winter
15,15,1600747.56,12.0,54.0,14022548.63,63.0,38.0,5.0,222580.137,0.0,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
16,16,1474399.21,8.0,94.0,8610491.39,165.5,27.0,14.0,52027.138,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
17,17,1598336.68,5.0,164.0,5833928.88,149.0,42.0,15.0,39153.885,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
18,18,1525951.17,12.0,264.0,13367332.25,251.0,40.0,9.0,53256.304,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
19,19,1490087.7,9.0,253.0,9789876.19,209.5,45.0,14.0,46729.719,0.01,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,20,1692861.27,7.0,76.0,8650521.09,97.0,28.0,6.0,89180.63,0.0,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
21,21,1724732.72,11.0,135.0,13849603.74,91.0,42.0,12.0,152193.448,0.0,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,22,1632052.85,11.0,192.0,13105384.39,152.5,45.0,14.0,85936.947,0.0,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
23,23,1684885.92,9.0,268.0,11069700.49,186.5,18.0,14.0,59354.962,0.01,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
24,24,1626452.81,4.0,50.0,4749242.21,102.5,25.0,13.0,46334.07,0.01,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,25,1438208.56,6.0,248.0,6299353.49,186.0,38.0,13.0,33867.492,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
26,26,1482934.77,7.0,147.0,7577796.67,176.5,40.0,12.0,42933.692,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
27,27,1547295.0,3.0,164.0,3388576.05,134.5,34.0,,25193.874,0.01,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
28,28,1543039.8,8.0,45.0,9011352.43,106.5,22.0,10.0,84613.638,0.0,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
29,29,1465455.14,10.0,225.0,,202.5,47.0,7.0,52828.753,0.01,1,1,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30,30,574508.41,19.0,185.0,7968431.65,202.5,39.0,8.0,39350.28,0.01,1,1,0,0,0,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,31,557197.14,15.0,85.0,6101308.68,135.0,29.0,5.0,45194.879,0.01,1,1,0,0,1,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,32,549456.53,19.0,152.0,7620962.07,117.5,50.0,,64859.252,0.01,1,1,0,0,0,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,33,555514.3,12.0,238.0,4866305.27,202.0,22.0,10.0,24090.62,0.02,1,1,0,0,1,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,34,563887.67,10.0,81.0,4116379.99,151.0,45.0,7.0,27260.795,0.01,1,1,0,0,0,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,35,710027.49,12.0,248.0,6219840.81,226.5,21.0,6.0,27460.666,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,36,704540.05,8.0,85.0,4114513.89,121.5,44.0,12.0,33864.312,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,37,724405.2,7.0,95.0,3701710.57,118.5,48.0,15.0,31238.064,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,38,666681.69,11.0,279.0,5353453.97,196.5,39.0,9.0,27244.041,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,39,697128.61,6.0,269.0,3053423.31,156.5,54.0,,19510.692,0.02,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,40,907019.43,18.0,135.0,11918235.31,95.5,56.0,11.0,124798.275,0.0,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,41,941430.98,26.0,246.0,17868360.0,147.0,33.0,11.0,121553.469,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,42,866037.43,16.0,148.0,10115317.18,156.0,28.0,8.0,64841.777,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,43,878910.74,9.0,164.0,5774443.56,175.5,51.0,9.0,32902.812,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,44,856319.68,22.0,242.0,13752494.06,215.0,54.0,5.0,63965.089,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,45,1535171.89,13.0,116.0,14568781.24,180.5,27.0,10.0,80713.469,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,46,1493073.46,7.0,160.0,7629605.38,182.0,32.0,15.0,41920.909,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47,47,1502377.35,9.0,137.0,9870619.19,152.5,57.0,5.0,64725.372,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
48,48,1478344.45,16.0,165.0,17267063.18,147.0,28.0,8.0,117463.015,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,49,1545290.18,13.0,,14664803.81,80.0,,12.0,183310.048,0.0,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,50,1638658.19,8.0,101.0,9569763.83,76.5,40.0,13.0,125094.952,0.0,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,51,1666530.28,9.0,85.0,10949103.94,99.5,21.0,13.0,110041.246,0.0,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
52,52,1693195.18,11.0,190.0,13596357.3,128.5,48.0,10.0,105808.228,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,53,1663453.06,5.0,172.0,6071603.67,115.5,32.0,13.0,52567.997,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,54,1575398.09,5.0,183.0,5750203.03,114.0,21.0,15.0,50440.377,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,55,1486659.87,10.0,84.0,10852617.05,99.5,39.0,11.0,109071.528,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,56,1430983.26,7.0,142.0,7312324.46,104.5,55.0,10.0,69974.397,0.01,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
57,57,1507453.58,7.0,109.0,7703087.79,87.5,31.0,13.0,88035.289,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
58,58,1433501.07,14.0,223.0,14650380.94,134.0,39.0,4.0,109331.201,0.0,1,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
59,59,1563864.2,11.0,129.0,12557829.53,87.0,32.0,4.0,144342.868,0.0,1,1,0,0,0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
60,60,553210.97,9.0,245.0,3634596.07,242.0,40.0,12.0,15018.992,0.02,1,1,0,0,0,1.08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
61,61,563359.61,9.0,93.0,3701272.64,155.5,47.0,6.0,23802.396,0.02,1,1,0,0,0,1.08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
62,62,573103.56,16.0,268.0,6693849.58,237.0,37.0,8.0,28244.091,0.01,1,1,0,0,0,1.08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
63,63,558850.54,5.0,177.0,2039804.47,200.5,47.0,7.0,10173.588,0.04,1,1,0,0,0,1.08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
64,64,552492.61,13.0,175.0,5243154.87,169.0,43.0,13.0,31024.585,0.01,1,1,0,0,0,1.08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
65,65,681958.17,7.0,243.0,3484806.25,209.0,51.0,13.0,16673.714,0.02,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
66,66,671469.2,7.0,234.0,3431207.61,199.5,19.0,13.0,17199.036,0.02,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
67,67,681380.82,9.0,180.0,4476671.99,192.5,51.0,14.0,23255.439,0.02,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
68,68,711129.33,2.0,187.0,1038248.82,161.0,19.0,4.0,6448.75,0.06,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
69,69,690747.55,10.0,151.0,5042457.12,166.5,39.0,10.0,30285.028,0.01,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
70,70,913474.44,16.0,263.0,10669381.46,233.5,47.0,12.0,45693.282,0.01,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
71,71,868119.13,19.0,200.0,12040812.33,222.0,39.0,9.0,54237.893,0.01,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
72,72,932746.17,18.0,155.0,12256284.67,99.0,18.0,9.0,123800.855,0.0,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
73,73,858634.12,15.0,223.0,9402043.61,132.5,57.0,14.0,70958.82,0.01,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
74,74,900271.99,11.0,184.0,7229184.08,143.0,39.0,14.0,50553.735,0.01,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
75,75,1480458.0,11.0,234.0,11888077.74,204.5,,9.0,58132.409,0.01,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
76,76,1555554.0,7.0,102.0,7948880.94,102.0,19.0,5.0,77930.205,0.0,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
77,77,1497263.0,9.0,136.0,9837017.91,140.0,51.0,6.0,70264.414,0.01,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
78,78,1508420.62,10.0,60.0,11011470.53,93.0,54.0,10.0,118402.909,0.0,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
79,79,1491188.76,7.0,207.0,7619974.56,196.0,25.0,13.0,38877.421,0.01,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
80,80,1569389.78,10.0,136.0,11456545.39,114.0,27.0,14.0,100496.012,0.0,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
81,81,1581126.22,8.0,153.0,9233777.12,162.0,45.0,10.0,56998.624,0.01,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
82,82,1731507.64,6.0,110.0,7584003.46,77.0,21.0,9.0,98493.551,0.0,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
83,83,1590086.62,,272.0,4643052.93,208.5,34.0,8.0,22268.839,0.02,1,1,0,0,0,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
84,84,1676884.99,6.0,240.0,7344756.26,173.5,30.0,11.0,42332.889,0.01,1,1,0,0,1,1.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
