Date,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Dealer_Network_Size,Service_Type
2023-01-01,Maruti Suzuki,Ertiga,MPV,Central,924367.6,10.0,246.0,6932757.0,166.5,38.0,6.0,41638.18,0.01,Winter,1,1,Sunday,1,0,0,1.0,98,Arena
2023-01-01,Maruti Suzuki,Baleno,Premium Hatchback,North,776475.71,,237.0,5823567.82,233.5,40.0,9.0,24940.333,0.01,Winter,1,1,Sunday,1,0,0,1.08,116,Arena
2023-01-01,Maruti Suzuki,Baleno,Premium Hatchback,South,762835.76,13.0,81.0,7437648.66,135.5,21.0,13.0,54890.396,0.01,Winter,1,1,Sunday,1,0,0,1.08,66,Nexa
2023-01-01,Maruti Suzuki,Baleno,Premium Hatchback,East,731715.52,11.0,148.0,6036653.04,169.5,32.0,14.0,35614.472,0.01,Winter,1,1,Sunday,1,0,0,1.08,106,Nexa
2023-01-01,Maruti Suzuki,Baleno,Premium Hatchback,West,737849.64,9.0,164.0,4980485.07,147.5,53.0,4.0,33766.0,0.01,Winter,1,1,Sunday,1,0,0,1.08,135,Arena
2023-01-01,Maruti Suzuki,Baleno,Premium Hatchback,Central,736998.84,9.0,237.0,4974742.17,142.0,24.0,9.0,35033.396,0.01,Winter,1,1,Sunday,1,0,0,1.08,158,Arena
2023-01-01,Maruti Suzuki,Grand Vitara,SUV,North,1485386.18,6.0,141.0,6684237.81,135.0,56.0,12.0,49512.873,0.01,Winter,1,1,Sunday,1,0,1,1.0,72,Arena
2023-01-01,Maruti Suzuki,Grand Vitara,SUV,South,1513019.03,3.0,281.0,3404292.82,224.5,35.0,9.0,15163.888,0.02,Winter,1,1,Sunday,1,0,0,1.0,118,Nexa
2023-01-01,Maruti Suzuki,Grand Vitara,SUV,East,1391152.76,5.0,118.0,5216822.85,125.5,24.0,14.0,41568.31,0.01,Winter,1,1,Sunday,1,0,0,1.0,134,Arena
2023-01-01,Maruti Suzuki,Grand Vitara,SUV,West,1512848.26,4.0,299.0,4538544.78,217.0,20.0,10.0,20914.953,0.02,Winter,1,1,Sunday,1,0,0,1.0,53,Nexa
2023-01-01,Maruti Suzuki,Grand Vitara,SUV,Central,1408615.42,15.0,190.0,15846923.47,137.5,21.0,5.0,115250.353,0.0,Winter,1,1,Sunday,1,0,0,1.0,130,Nexa
2023-01-02,Maruti Suzuki,Swift,Hatchback,North,635820.56,14.0,164.0,6676115.88,199.5,30.0,10.0,33464.24,0.01,Winter,1,1,Monday,0,0,1,1.08,70,Nexa
2023-01-02,Maruti Suzuki,Swift,Hatchback,South,665057.1,17.0,226.0,8479478.02,150.5,37.0,3.0,56342.047,0.01,Winter,1,1,Monday,0,0,1,1.08,86,Arena
2023-01-02,Maruti Suzuki,Swift,Hatchback,East,642052.38,18.0,154.0,8667707.13,153.0,39.0,11.0,56651.681,0.01,Winter,1,1,Monday,0,0,0,1.08,68,Arena
2023-01-02,Maruti Suzuki,Swift,Hatchback,West,649546.67,11.0,132.0,5358760.03,157.5,24.0,5.0,34023.873,0.01,Winter,1,1,Monday,0,0,0,1.08,172,Arena
2023-01-02,Maruti Suzuki,Swift,Hatchback,Central,666998.19,18.0,58.0,9004475.56,166.5,36.0,8.0,54080.934,0.01,Winter,1,1,Monday,0,0,0,1.08,190,Arena
2023-01-02,Maruti Suzuki,Dzire,Sedan,North,720959.48,8.0,54.0,4325756.88,129.5,38.0,10.0,33403.528,0.01,Winter,1,1,Monday,0,0,0,1.0,114,Nexa
2023-01-02,Maruti Suzuki,Dzire,Sedan,South,718680.02,12.0,208.0,,177.5,58.0,13.0,36440.114,0.01,Winter,1,1,Monday,0,0,0,1.0,68,Arena
2023-01-02,Maruti Suzuki,Dzire,Sedan,East,688053.84,11.0,175.0,5676444.18,217.0,27.0,11.0,26158.729,0.01,Winter,1,1,Monday,0,0,1,1.0,180,Arena
2023-01-02,Maruti Suzuki,Dzire,Sedan,West,746539.14,16.0,202.0,8958469.68,203.5,25.0,12.0,44021.964,0.01,Winter,1,1,Monday,0,0,0,1.0,110,Arena
2023-01-02,Maruti Suzuki,Dzire,Sedan,Central,689431.29,15.0,69.0,7756102.01,77.5,33.0,3.0,100078.736,0.0,Winter,1,1,Monday,0,0,0,1.0,167,Arena
2023-01-02,Maruti Suzuki,Brezza,Compact SUV,North,1113214.59,21.0,201.0,17533129.79,124.0,47.0,6.0,141396.208,0.0,Winter,1,1,Monday,0,0,0,1.0,109,Arena
2023-01-02,Maruti Suzuki,Brezza,Compact SUV,South,1120320.43,13.0,254.0,10923124.19,225.0,32.0,5.0,48547.219,0.01,Winter,1,1,Monday,0,0,1,1.0,131,Arena
2023-01-02,Maruti Suzuki,Brezza,Compact SUV,East,1134160.87,,167.0,8506206.53,215.0,30.0,7.0,39563.751,0.01,Winter,1,1,Monday,0,0,1,1.0,135,Nexa
2023-01-02,Maruti Suzuki,Brezza,Compact SUV,West,1059723.73,11.0,148.0,8742720.77,168.0,25.0,14.0,52040.005,0.01,Winter,1,1,Monday,0,0,1,1.0,144,Nexa
2023-01-02,Maruti Suzuki,Brezza,Compact SUV,Central,1128278.93,20.0,214.0,16924183.95,168.0,36.0,7.0,100739.19,0.0,Winter,1,1,Monday,0,0,0,1.0,159,Arena
2023-01-02,Maruti Suzuki,Ertiga,MPV,North,947740.02,5.0,211.0,3554025.08,126.5,31.0,3.0,28095.06,0.01,Winter,1,1,Monday,0,0,0,1.0,182,Arena
2023-01-02,Maruti Suzuki,Ertiga,MPV,South,945336.49,,215.0,8508028.41,166.5,49.0,9.0,51099.27,0.01,Winter,1,1,Monday,0,0,0,1.0,130,Nexa
2023-01-02,Maruti Suzuki,Ertiga,MPV,East,914743.57,9.0,160.0,6174519.1,191.0,35.0,13.0,32327.325,0.01,Winter,1,1,Monday,0,0,0,1.0,57,Arena
2023-01-02,Maruti Suzuki,Ertiga,MPV,West,946273.98,8.0,182.0,5677643.88,155.5,53.0,3.0,36512.179,0.01,Winter,1,1,Monday,0,0,0,1.0,94,Arena
2023-01-02,Maruti Suzuki,Ertiga,MPV,Central,910529.12,7.0,50.0,4780277.88,94.0,34.0,10.0,50854.02,0.01,Winter,1,1,Monday,0,0,0,1.0,77,Arena
2023-01-02,Maruti Suzuki,Baleno,Premium Hatchback,North,722483.77,11.0,105.0,5960491.1,73.5,42.0,13.0,81095.117,0.0,Winter,1,1,Monday,0,0,0,1.08,67,Arena
2023-01-02,Maruti Suzuki,Baleno,Premium Hatchback,South,740796.31,10.0,168.0,5555972.33,204.5,58.0,11.0,27168.569,0.01,Winter,1,1,Monday,0,0,1,1.08,135,Arena
2023-01-02,Maruti Suzuki,Baleno,Premium Hatchback,East,749883.16,13.0,282.0,7311360.81,216.0,55.0,8.0,33848.893,0.01,Winter,1,1,Monday,0,0,0,1.08,57,Arena
2023-01-02,Maruti Suzuki,Baleno,Premium Hatchback,West,779973.55,14.0,55.0,8189722.28,79.0,53.0,,103667.371,0.0,Winter,1,1,Monday,0,0,0,1.08,158,Arena
2023-01-02,Maruti Suzuki,Baleno,Premium Hatchback,Central,739901.76,20.0,247.0,11098526.4,199.0,23.0,13.0,55771.489,0.01,Winter,1,1,Monday,0,0,0,1.08,143,Arena
2023-01-02,Maruti Suzuki,Grand Vitara,SUV,North,1502998.53,7.0,124.0,7890742.28,148.5,49.0,10.0,53136.312,0.01,Winter,1,1,Monday,0,0,1,1.0,111,Nexa
2023-01-02,Maruti Suzuki,Grand Vitara,SUV,South,1394151.34,5.0,189.0,5228067.53,159.0,33.0,8.0,32880.928,0.01,Winter,1,1,Monday,0,0,0,1.0,188,Nexa
2023-01-02,Maruti Suzuki,Grand Vitara,SUV,East,1487733.04,10.0,122.0,11157997.8,182.0,,10.0,61307.68,0.01,Winter,1,1,Monday,0,0,0,1.0,143,Arena
2023-01-02,Maruti Suzuki,Grand Vitara,SUV,West,1497551.43,11.0,121.0,12354799.3,194.5,33.0,14.0,63520.819,0.01,Winter,1,1,Monday,0,0,0,1.0,54,Arena
2023-01-02,Maruti Suzuki,Grand Vitara,SUV,Central,1387159.77,11.0,255.0,11444068.1,199.0,58.0,5.0,57507.88,0.01,Winter,1,1,Monday,0,0,0,1.0,116,Nexa
2023-01-03,Maruti Suzuki,Swift,Hatchback,North,652174.97,16.0,82.0,7826099.64,176.0,46.0,6.0,44466.475,0.01,Winter,1,1,Tuesday,0,0,1,1.08,146,Nexa
2023-01-03,Maruti Suzuki,Swift,Hatchback,South,663914.17,21.0,135.0,10456648.18,89.5,29.0,3.0,116834.058,0.0,Winter,1,1,Tuesday,0,0,0,1.08,190,Arena
2023-01-03,Maruti Suzuki,Swift,Hatchback,East,627244.63,23.0,185.0,10819969.87,135.5,23.0,14.0,79852.176,0.0,Winter,1,1,Tuesday,0,0,1,1.08,144,Arena
2023-01-03,Maruti Suzuki,Swift,Hatchback,West,671241.92,17.0,118.0,8558334.48,115.5,59.0,8.0,74098.134,0.0,Winter,1,1,Tuesday,0,0,0,1.08,72,Arena
2023-01-03,Maruti Suzuki,Swift,Hatchback,Central,650382.76,27.0,153.0,13170250.89,204.5,52.0,10.0,64402.205,0.01,Winter,1,1,Tuesday,0,0,1,1.08,149,Nexa
2023-01-03,Maruti Suzuki,Dzire,Sedan,North,725492.76,12.0,290.0,6529434.84,225.5,28.0,8.0,28955.365,0.01,Winter,1,1,Tuesday,0,0,0,1.0,89,Nexa
2023-01-03,Maruti Suzuki,Dzire,Sedan,South,695917.48,17.0,198.0,8872947.87,200.5,42.0,11.0,44254.104,0.01,Winter,1,1,Tuesday,0,0,0,1.0,104,Arena
2023-01-03,Maruti Suzuki,Dzire,Sedan,East,698801.75,13.0,186.0,,141.0,45.0,11.0,48321.398,0.01,Winter,1,1,Tuesday,0,0,0,1.0,74,Nexa
2023-01-03,Maruti Suzuki,Dzire,Sedan,West,750128.74,15.0,211.0,8438948.32,189.0,43.0,11.0,44650.52,0.01,Winter,1,1,Tuesday,0,0,0,1.0,137,Arena
2023-01-03,Maruti Suzuki,Dzire,Sedan,Central,699313.02,12.0,205.0,6293817.18,146.5,26.0,3.0,42961.209,0.01,Winter,1,1,Tuesday,0,0,1,1.0,197,Arena
2023-01-03,Maruti Suzuki,Brezza,Compact SUV,North,1127495.65,14.0,271.0,11838704.32,216.5,38.0,3.0,54682.237,0.01,Winter,1,1,Tuesday,0,0,0,1.0,79,Nexa
2023-01-03,Maruti Suzuki,Brezza,Compact SUV,South,1103041.25,13.0,224.0,10754652.19,241.5,49.0,8.0,44532.721,0.01,Winter,1,1,Tuesday,0,0,1,1.0,181,Arena
2023-01-03,Maruti Suzuki,Brezza,Compact SUV,East,1133082.47,10.0,173.0,8498118.53,133.5,47.0,4.0,63656.319,0.01,Winter,1,1,Tuesday,0,0,1,1.0,57,Arena
2023-01-03,Maruti Suzuki,Brezza,Compact SUV,West,1056451.94,9.0,121.0,7131050.59,199.5,56.0,5.0,35744.614,0.01,Winter,1,1,Tuesday,0,0,1,1.0,141,Arena
2023-01-03,Maruti Suzuki,Brezza,Compact SUV,Central,1088690.19,7.0,193.0,5715623.5,198.5,40.0,9.0,28794.073,0.01,Winter,1,1,Tuesday,0,0,1,1.0,56,Nexa
2023-01-03,Maruti Suzuki,Ertiga,MPV,North,935293.25,12.0,54.0,8417639.25,157.5,28.0,4.0,53445.329,0.01,Winter,1,1,Tuesday,0,0,1,1.0,148,Nexa
2023-01-03,Maruti Suzuki,Ertiga,MPV,South,968890.36,5.0,89.0,3633338.85,76.5,58.0,11.0,47494.625,0.01,Winter,1,1,Tuesday,0,0,0,1.0,53,Arena
2023-01-03,Maruti Suzuki,Ertiga,MPV,East,988001.77,13.0,76.0,9633017.26,124.5,46.0,10.0,77373.633,0.0,Winter,1,1,Tuesday,0,0,0,1.0,102,Arena
2023-01-03,Maruti Suzuki,Ertiga,MPV,West,925808.17,8.0,164.0,5554849.02,176.0,30.0,10.0,31561.642,0.01,Winter,1,1,Tuesday,0,0,0,1.0,162,Nexa
2023-01-03,Maruti Suzuki,Ertiga,MPV,Central,993247.45,7.0,239.0,5214549.11,256.5,53.0,11.0,20329.626,0.02,Winter,1,1,Tuesday,0,0,1,1.0,122,Arena
2023-01-03,Maruti Suzuki,Baleno,Premium Hatchback,North,745112.05,14.0,153.0,7823676.53,115.5,54.0,5.0,67737.459,0.01,Winter,1,1,Tuesday,0,0,0,1.08,157,Nexa
2023-01-03,Maruti Suzuki,Baleno,Premium Hatchback,South,719368.66,9.0,150.0,4855738.46,119.0,36.0,12.0,40804.525,0.01,Winter,1,1,Tuesday,0,0,0,1.08,96,Arena
2023-01-03,Maruti Suzuki,Baleno,Premium Hatchback,East,761908.75,22.0,130.0,12571494.38,143.5,35.0,8.0,87606.233,0.0,Winter,1,1,Tuesday,0,0,1,1.08,138,Nexa
2023-01-03,Maruti Suzuki,Baleno,Premium Hatchback,West,715812.41,13.0,,6979171.0,75.5,26.0,3.0,92439.351,0.0,Winter,1,1,Tuesday,0,0,0,1.08,135,Nexa
2023-01-03,Maruti Suzuki,Baleno,Premium Hatchback,Central,783319.99,9.0,108.0,5287409.93,114.5,50.0,6.0,46178.253,0.01,Winter,1,1,Tuesday,0,0,1,1.08,195,Arena
2023-01-03,Maruti Suzuki,Grand Vitara,SUV,North,1468254.25,9.0,190.0,9910716.19,122.5,21.0,9.0,80903.806,0.0,Winter,1,1,Tuesday,0,0,0,1.0,83,Arena
2023-01-03,Maruti Suzuki,Grand Vitara,SUV,South,1428920.21,16.0,222.0,17147042.52,209.5,23.0,4.0,81847.458,0.0,Winter,1,1,Tuesday,0,0,0,1.0,122,Arena
2023-01-03,Maruti Suzuki,Grand Vitara,SUV,East,1471698.76,13.0,142.0,14349062.91,149.0,29.0,13.0,96302.436,0.0,Winter,1,1,Tuesday,0,0,0,1.0,52,Nexa
2023-01-03,Maruti Suzuki,Grand Vitara,SUV,West,1485941.38,13.0,169.0,14487928.45,148.5,28.0,6.0,97561.808,0.0,Winter,1,1,Tuesday,0,0,0,1.0,147,Arena
2023-01-03,Maruti Suzuki,Grand Vitara,SUV,Central,1484105.83,3.0,54.0,3339238.12,159.5,43.0,14.0,20935.662,0.02,Winter,1,1,Tuesday,0,0,0,1.0,121,Nexa
2023-01-04,Maruti Suzuki,Swift,Hatchback,North,681945.9,28.0,246.0,14320863.9,199.5,59.0,5.0,71783.779,0.01,Winter,1,1,Wednesday,0,0,1,1.08,105,Nexa
2023-01-04,Maruti Suzuki,Swift,Hatchback,South,651381.92,15.0,55.0,7328046.6,87.0,59.0,14.0,84230.421,0.0,Winter,1,1,Wednesday,0,0,1,1.08,108,Arena
2023-01-04,Maruti Suzuki,Swift,Hatchback,East,624379.22,16.0,219.0,7492550.64,206.5,57.0,14.0,36283.538,0.01,Winter,1,1,Wednesday,0,0,0,1.08,94,Nexa
2023-01-04,Maruti Suzuki,Swift,Hatchback,West,653651.81,10.0,149.0,4902388.58,132.5,48.0,14.0,36999.159,0.01,Winter,1,1,Wednesday,0,0,0,1.08,62,Nexa
2023-01-04,Maruti Suzuki,Swift,Hatchback,Central,625849.17,15.0,212.0,7040803.16,231.0,49.0,9.0,30479.667,0.01,Winter,1,1,Wednesday,0,0,0,1.08,112,Arena
2023-01-04,Maruti Suzuki,Dzire,Sedan,North,752205.45,14.0,291.0,7898157.22,261.0,36.0,14.0,30261.139,0.01,Winter,1,1,Wednesday,0,0,0,1.0,187,Arena
2023-01-04,Maruti Suzuki,Dzire,Sedan,South,755290.68,2.0,99.0,1132936.02,156.5,48.0,14.0,7239.208,0.05,Winter,1,1,Wednesday,0,0,1,1.0,174,Arena
2023-01-04,Maruti Suzuki,Dzire,Sedan,East,684074.12,9.0,107.0,4617500.31,186.0,53.0,6.0,24825.27,0.01,Winter,1,1,Wednesday,0,0,0,1.0,190,Nexa
2023-01-04,Maruti Suzuki,Dzire,Sedan,West,744476.2,10.0,165.0,5583571.5,189.5,33.0,6.0,29464.757,0.01,Winter,1,1,Wednesday,0,0,0,1.0,76,Nexa
2023-01-04,Maruti Suzuki,Dzire,Sedan,Central,749485.76,20.0,70.0,11242286.4,105.0,39.0,8.0,107069.394,0.0,Winter,1,1,Wednesday,0,0,1,1.0,180,Arena
2023-01-04,Maruti Suzuki,Brezza,Compact SUV,North,1067039.51,9.0,,7202516.69,151.0,43.0,14.0,47698.786,0.01,Winter,1,1,Wednesday,0,0,0,1.0,76,Nexa
2023-01-04,Maruti Suzuki,Brezza,Compact SUV,South,1146293.26,15.0,73.0,12895799.18,121.5,39.0,11.0,106138.265,0.0,Winter,1,1,Wednesday,0,0,0,1.0,66,Nexa
2023-01-04,Maruti Suzuki,Brezza,Compact SUV,East,1052062.98,7.0,237.0,5523330.64,196.5,,10.0,28108.553,0.01,Winter,1,1,Wednesday,0,0,0,1.0,113,Arena
2023-01-04,Maruti Suzuki,Brezza,Compact SUV,West,1128276.52,11.0,94.0,9308281.29,117.5,27.0,13.0,79219.415,0.0,Winter,1,1,Wednesday,0,0,0,1.0,137,Arena
2023-01-04,Maruti Suzuki,Brezza,Compact SUV,Central,1083061.82,8.0,197.0,6498370.92,202.0,51.0,4.0,32170.153,0.01,Winter,1,1,Wednesday,0,0,0,1.0,51,Arena
2023-01-04,Maruti Suzuki,Ertiga,MPV,North,992897.25,10.0,98.0,7446729.38,99.0,22.0,13.0,75219.489,0.0,Winter,1,1,Wednesday,0,0,0,1.0,55,Nexa
2023-01-04,Maruti Suzuki,Ertiga,MPV,South,944167.69,14.0,155.0,9913760.74,202.0,31.0,9.0,49078.023,0.01,Winter,1,1,Wednesday,0,0,0,1.0,74,Nexa
2023-01-04,Maruti Suzuki,Ertiga,MPV,East,964280.94,7.0,108.0,5062474.93,174.5,54.0,8.0,29011.318,0.01,Winter,1,1,Wednesday,0,0,0,1.0,146,Nexa
2023-01-04,Maruti Suzuki,Ertiga,MPV,West,985475.21,10.0,277.0,7391064.07,239.0,55.0,8.0,30924.954,0.01,Winter,1,1,Wednesday,0,0,0,1.0,164,Arena
2023-01-04,Maruti Suzuki,Ertiga,MPV,Central,909067.61,12.0,118.0,8181608.49,99.0,33.0,10.0,82642.51,0.0,Winter,1,1,Wednesday,0,0,0,1.0,133,Arena
2023-01-04,Maruti Suzuki,Baleno,Premium Hatchback,North,731860.01,6.0,77.0,3293370.05,172.5,24.0,,19092.0,0.02,Winter,1,1,Wednesday,0,0,1,1.08,94,Arena
2023-01-04,Maruti Suzuki,Baleno,Premium Hatchback,South,737775.24,8.0,142.0,4426651.44,137.5,20.0,7.0,32193.829,0.01,Winter,1,1,Wednesday,0,0,0,1.08,50,Arena
2023-01-04,Maruti Suzuki,Baleno,Premium Hatchback,East,739254.9,10.0,214.0,5544411.75,228.5,56.0,3.0,24264.384,0.02,Winter,1,1,Wednesday,0,0,1,1.08,93,Arena
2023-01-04,Maruti Suzuki,Baleno,Premium Hatchback,West,715064.08,16.0,238.0,8580768.96,177.5,21.0,11.0,48342.36,0.01,Winter,1,1,Wednesday,0,0,0,1.08,69,Arena
2023-01-04,Maruti Suzuki,Baleno,Premium Hatchback,Central,719141.67,15.0,294.0,8090343.79,247.0,33.0,14.0,32754.428,0.01,Winter,1,1,Wednesday,0,0,0,1.08,92,Arena
2023-01-04,Maruti Suzuki,Grand Vitara,SUV,North,1479678.71,9.0,101.0,9987831.29,187.0,27.0,4.0,53410.863,0.01,Winter,1,1,Wednesday,0,0,0,1.0,57,Arena
2023-01-04,Maruti Suzuki,Grand Vitara,SUV,South,1497977.19,5.0,194.0,5617414.46,140.0,59.0,3.0,40124.389,0.01,Winter,1,1,Wednesday,0,0,0,1.0,121,Nexa
2023-01-04,Maruti Suzuki,Grand Vitara,SUV,East,1504884.76,11.0,252.0,12415299.27,208.0,57.0,6.0,59688.939,0.01,Winter,1,1,Wednesday,0,0,0,1.0,131,Nexa
2023-01-04,Maruti Suzuki,Grand Vitara,SUV,West,1463990.39,11.0,266.0,12077920.72,264.5,54.0,14.0,45663.216,0.01,Winter,1,1,Wednesday,0,0,0,1.0,60,Nexa
2023-01-04,Maruti Suzuki,Grand Vitara,SUV,Central,1432628.36,6.0,202.0,6446827.62,233.5,56.0,14.0,27609.54,0.01,Winter,1,1,Wednesday,0,0,0,1.0,92,Nexa
2023-01-05,Maruti Suzuki,Swift,Hatchback,North,618685.12,20.0,220.0,9280276.8,205.0,35.0,7.0,45269.643,0.01,Winter,1,1,Thursday,0,0,1,1.08,74,Nexa
2023-01-05,Maruti Suzuki,Swift,Hatchback,South,630146.29,17.0,263.0,8034365.2,190.0,23.0,7.0,42286.133,0.01,Winter,1,1,Thursday,0,0,0,1.08,76,Nexa
2023-01-05,Maruti Suzuki,Swift,Hatchback,East,664146.33,16.0,213.0,7969755.96,127.0,32.0,6.0,62753.984,0.01,Winter,1,1,Thursday,0,0,1,1.08,143,Arena
2023-01-05,Maruti Suzuki,Swift,Hatchback,West,663588.01,20.0,208.0,9953820.15,151.5,55.0,6.0,65701.783,0.01,Winter,1,1,Thursday,0,0,0,1.08,56,Nexa
2023-01-05,Maruti Suzuki,Swift,Hatchback,Central,656604.77,15.0,190.0,7386803.66,173.5,40.0,8.0,42575.237,0.01,Winter,1,1,Thursday,0,0,0,1.08,75,Arena
2023-01-05,Maruti Suzuki,Dzire,Sedan,North,748801.66,13.0,219.0,7300816.18,233.0,45.0,13.0,31333.975,0.01,Winter,1,1,Thursday,0,0,1,1.0,99,Nexa
2023-01-05,Maruti Suzuki,Dzire,Sedan,South,700936.96,8.0,224.0,4205621.76,185.5,53.0,3.0,22671.815,0.02,Winter,1,1,Thursday,0,0,0,1.0,199,Arena
2023-01-05,Maruti Suzuki,Dzire,Sedan,East,702495.64,11.0,187.0,5795589.03,151.5,44.0,4.0,38254.713,0.01,Winter,1,1,Thursday,0,0,0,1.0,56,Nexa
2023-01-05,Maruti Suzuki,Dzire,Sedan,West,685139.12,7.0,290.0,3596980.38,176.5,38.0,6.0,20379.492,0.02,Winter,1,1,Thursday,0,0,1,1.0,91,Nexa
2023-01-05,Maruti Suzuki,Dzire,Sedan,Central,726894.05,15.0,146.0,8177558.06,129.0,27.0,3.0,63391.923,0.01,Winter,1,1,Thursday,0,0,0,1.0,62,Arena
2023-01-05,Maruti Suzuki,Brezza,Compact SUV,North,1103625.36,8.0,116.0,6621752.16,140.0,22.0,8.0,47298.23,0.01,Winter,1,1,Thursday,0,0,0,1.0,51,Arena
2023-01-05,Maruti Suzuki,Brezza,Compact SUV,South,1150783.23,9.0,85.0,7767786.8,172.5,50.0,11.0,45030.648,0.01,Winter,1,1,Thursday,0,0,0,1.0,155,Arena
2023-01-05,Maruti Suzuki,Brezza,Compact SUV,East,1118140.29,,193.0,7547446.96,222.0,22.0,9.0,33997.509,0.01,Winter,1,1,Thursday,0,0,0,1.0,153,Arena
2023-01-05,Maruti Suzuki,Brezza,Compact SUV,West,1073275.2,10.0,247.0,8049564.0,243.0,58.0,3.0,33125.778,0.01,Winter,1,1,Thursday,0,0,0,1.0,87,Arena
2023-01-05,Maruti Suzuki,Brezza,Compact SUV,Central,1084615.0,4.0,286.0,3253845.0,205.0,21.0,,15872.415,0.02,Winter,1,1,Thursday,0,0,0,1.0,124,Nexa
2023-01-05,Maruti Suzuki,Ertiga,MPV,North,971035.1,10.0,207.0,7282763.25,156.5,35.0,9.0,46535.228,0.01,Winter,1,1,Thursday,0,0,0,1.0,122,Arena
