,Unnamed: 0,Index,Company,Car_Model,Car_Type,Region,Price,Units_Sold,Stock_Quantity,COGS,Avg_Inventory,Reorder_Point,Lead_Time_Days,Inventory_Turnover_Ratio,Days_Sales_Inventory,Season,Month,Quarter,Day_of_Week,Is_Weekend,Is_Holiday,Promotion_Active,Seasonality_Flag,Day
19,19,19,Tata Motors,Harrier,SUV,Central,1490087.7,9.0,253.0,9789876.19,209.5,45.0,14.0,46729.719,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
20,20,20,Tata Motors,Safari,MPV,North,1692861.27,7.0,76.0,8650521.09,97.0,28.0,6.0,89180.63,0.0,Winter,1,1,Sunday,1,0,1,1.0,1
21,21,21,Tata Motors,Safari,MPV,South,1724732.72,11.0,135.0,13849603.74,91.0,42.0,12.0,152193.448,0.0,Winter,1,1,Sunday,1,0,0,1.0,1
22,22,22,Tata Motors,Safari,MPV,East,1632052.85,11.0,192.0,13105384.39,152.5,45.0,14.0,85936.947,0.0,Winter,1,1,Sunday,1,0,1,1.0,1
23,23,23,Tata Motors,Safari,MPV,West,1684885.92,9.0,268.0,11069700.49,186.5,18.0,14.0,59354.962,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
24,24,24,Tata Motors,Safari,MPV,Central,1626452.81,4.0,50.0,4749242.21,102.5,25.0,13.0,46334.07,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
25,25,25,Tata Motors,Nexon EV,Electric SUV,North,1438208.56,6.0,248.0,6299353.49,186.0,38.0,13.0,33867.492,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
26,26,26,Tata Motors,Nexon EV,Electric SUV,South,1482934.77,7.0,147.0,7577796.67,176.5,40.0,12.0,42933.692,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
27,27,27,Tata Motors,Nexon EV,Electric SUV,East,1547295.0,3.0,164.0,3388576.05,134.5,34.0,,25193.874,0.01,Winter,1,1,Sunday,1,0,0,1.0,1
28,28,28,Tata Motors,Nexon EV,Electric SUV,West,1543039.8,8.0,45.0,9011352.43,106.5,22.0,10.0,84613.638,0.0,Winter,1,1,Sunday,1,0,0,1.0,1
29,29,29,Tata Motors,Nexon EV,Electric SUV,Central,1465455.14,10.0,225.0,,202.5,47.0,7.0,52828.753,0.01,Winter,1,1,Sunday,1,0,1,1.0,1
30,30,30,Tata Motors,Tiago,Hatchback,North,574508.41,19.0,185.0,7968431.65,202.5,39.0,8.0,39350.28,0.01,Winter,1,1,Monday,0,0,0,1.08,2
31,31,31,Tata Motors,Tiago,Hatchback,South,557197.14,15.0,85.0,6101308.68,135.0,29.0,5.0,45194.879,0.01,Winter,1,1,Monday,0,0,1,1.08,2
32,32,32,Tata Motors,Tiago,Hatchback,East,549456.53,19.0,152.0,7620962.07,117.5,50.0,,64859.252,0.01,Winter,1,1,Monday,0,0,0,1.08,2
33,33,33,Tata Motors,Tiago,Hatchback,West,555514.3,12.0,238.0,4866305.27,202.0,22.0,10.0,24090.62,0.02,Winter,1,1,Monday,0,0,1,1.08,2
34,34,34,Tata Motors,Tiago,Hatchback,Central,563887.67,10.0,81.0,4116379.99,151.0,45.0,7.0,27260.795,0.01,Winter,1,1,Monday,0,0,0,1.08,2
35,35,35,Tata Motors,Tigor,Sedan,North,710027.49,12.0,248.0,6219840.81,226.5,21.0,6.0,27460.666,0.01,Winter,1,1,Monday,0,0,0,1.0,2
36,36,36,Tata Motors,Tigor,Sedan,South,704540.05,8.0,85.0,4114513.89,121.5,44.0,12.0,33864.312,0.01,Winter,1,1,Monday,0,0,0,1.0,2
37,37,37,Tata Motors,Tigor,Sedan,East,724405.2,7.0,95.0,3701710.57,118.5,48.0,15.0,31238.064,0.01,Winter,1,1,Monday,0,0,0,1.0,2
38,38,38,Tata Motors,Tigor,Sedan,West,666681.69,11.0,279.0,5353453.97,196.5,39.0,9.0,27244.041,0.01,Winter,1,1,Monday,0,0,0,1.0,2
39,39,39,Tata Motors,Tigor,Sedan,Central,697128.61,6.0,269.0,3053423.31,156.5,54.0,,19510.692,0.02,Winter,1,1,Monday,0,0,1,1.0,2
40,40,40,Tata Motors,Nexon,Compact SUV,North,907019.43,18.0,135.0,11918235.31,95.5,56.0,11.0,124798.275,0.0,Winter,1,1,Monday,0,0,1,1.0,2
41,41,41,Tata Motors,Nexon,Compact SUV,South,941430.98,26.0,246.0,17868360.0,147.0,33.0,11.0,121553.469,0.0,Winter,1,1,Monday,0,0,0,1.0,2
42,42,42,Tata Motors,Nexon,Compact SUV,East,866037.43,16.0,148.0,10115317.18,156.0,28.0,8.0,64841.777,0.01,Winter,1,1,Monday,0,0,0,1.0,2
43,43,43,Tata Motors,Nexon,Compact SUV,West,878910.74,9.0,164.0,5774443.56,175.5,51.0,9.0,32902.812,0.01,Winter,1,1,Monday,0,0,0,1.0,2
44,44,44,Tata Motors,Nexon,Compact SUV,Central,856319.68,22.0,242.0,13752494.06,215.0,54.0,5.0,63965.089,0.01,Winter,1,1,Monday,0,0,0,1.0,2
45,45,45,Tata Motors,Harrier,SUV,North,1535171.89,13.0,116.0,14568781.24,180.5,27.0,10.0,80713.469,0.0,Winter,1,1,Monday,0,0,0,1.0,2
46,46,46,Tata Motors,Harrier,SUV,South,1493073.46,7.0,160.0,7629605.38,182.0,32.0,15.0,41920.909,0.01,Winter,1,1,Monday,0,0,0,1.0,2
47,47,47,Tata Motors,Harrier,SUV,East,1502377.35,9.0,137.0,9870619.19,152.5,57.0,5.0,64725.372,0.01,Winter,1,1,Monday,0,0,0,1.0,2
48,48,48,Tata Motors,Harrier,SUV,West,1478344.45,16.0,165.0,17267063.18,147.0,28.0,8.0,117463.015,0.0,Winter,1,1,Monday,0,0,0,1.0,2
49,49,49,Tata Motors,Harrier,SUV,Central,1545290.18,13.0,,14664803.81,80.0,,12.0,183310.048,0.0,Winter,1,1,Monday,0,0,1,1.0,2
50,50,50,Tata Motors,Safari,MPV,North,1638658.19,8.0,101.0,9569763.83,76.5,40.0,13.0,125094.952,0.0,Winter,1,1,Monday,0,0,1,1.0,2
51,51,51,Tata Motors,Safari,MPV,South,1666530.28,9.0,85.0,10949103.94,99.5,21.0,13.0,110041.246,0.0,Winter,1,1,Monday,0,0,1,1.0,2
52,52,52,Tata Motors,Safari,MPV,East,1693195.18,11.0,190.0,13596357.3,128.5,48.0,10.0,105808.228,0.0,Winter,1,1,Monday,0,0,0,1.0,2
53,53,53,Tata Motors,Safari,MPV,West,1663453.06,5.0,172.0,6071603.67,115.5,32.0,13.0,52567.997,0.01,Winter,1,1,Monday,0,0,0,1.0,2
54,54,54,Tata Motors,Safari,MPV,Central,1575398.09,5.0,183.0,5750203.03,114.0,21.0,15.0,50440.377,0.01,Winter,1,1,Monday,0,0,0,1.0,2
55,55,55,Tata Motors,Nexon EV,Electric SUV,North,1486659.87,10.0,84.0,10852617.05,99.5,39.0,11.0,109071.528,0.0,Winter,1,1,Monday,0,0,0,1.0,2
56,56,56,Tata Motors,Nexon EV,Electric SUV,South,1430983.26,7.0,142.0,7312324.46,104.5,55.0,10.0,69974.397,0.01,Winter,1,1,Monday,0,0,0,1.0,2
57,57,57,Tata Motors,Nexon EV,Electric SUV,East,1507453.58,7.0,109.0,7703087.79,87.5,31.0,13.0,88035.289,0.0,Winter,1,1,Monday,0,0,0,1.0,2
58,58,58,Tata Motors,Nexon EV,Electric SUV,West,1433501.07,14.0,223.0,14650380.94,134.0,39.0,4.0,109331.201,0.0,Winter,1,1,Monday,0,0,1,1.0,2
59,59,59,Tata Motors,Nexon EV,Electric SUV,Central,1563864.2,11.0,129.0,12557829.53,87.0,32.0,4.0,144342.868,0.0,Winter,1,1,Monday,0,0,0,1.0,2
60,60,60,Tata Motors,Tiago,Hatchback,North,553210.97,9.0,245.0,3634596.07,242.0,40.0,12.0,15018.992,0.02,Winter,1,1,Tuesday,0,0,0,1.08,3
61,61,61,Tata Motors,Tiago,Hatchback,South,563359.61,9.0,93.0,3701272.64,155.5,47.0,6.0,23802.396,0.02,Winter,1,1,Tuesday,0,0,0,1.08,3
62,62,62,Tata Motors,Tiago,Hatchback,East,573103.56,16.0,268.0,6693849.58,237.0,37.0,8.0,28244.091,0.01,Winter,1,1,Tuesday,0,0,0,1.08,3
63,63,63,Tata Motors,Tiago,Hatchback,West,558850.54,5.0,177.0,2039804.47,200.5,47.0,7.0,10173.588,0.04,Winter,1,1,Tuesday,0,0,0,1.08,3
64,64,64,Tata Motors,Tiago,Hatchback,Central,552492.61,13.0,175.0,5243154.87,169.0,43.0,13.0,31024.585,0.01,Winter,1,1,Tuesday,0,0,0,1.08,3
65,65,65,Tata Motors,Tigor,Sedan,North,681958.17,7.0,243.0,3484806.25,209.0,51.0,13.0,16673.714,0.02,Winter,1,1,Tuesday,0,0,1,1.0,3
66,66,66,Tata Motors,Tigor,Sedan,South,671469.2,7.0,234.0,3431207.61,199.5,19.0,13.0,17199.036,0.02,Winter,1,1,Tuesday,0,0,1,1.0,3
67,67,67,Tata Motors,Tigor,Sedan,East,681380.82,9.0,180.0,4476671.99,192.5,51.0,14.0,23255.439,0.02,Winter,1,1,Tuesday,0,0,1,1.0,3
68,68,68,Tata Motors,Tigor,Sedan,West,711129.33,2.0,187.0,1038248.82,161.0,19.0,4.0,6448.75,0.06,Winter,1,1,Tuesday,0,0,1,1.0,3
69,69,69,Tata Motors,Tigor,Sedan,Central,690747.55,10.0,151.0,5042457.12,166.5,39.0,10.0,30285.028,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
70,70,70,Tata Motors,Nexon,Compact SUV,North,913474.44,16.0,263.0,10669381.46,233.5,47.0,12.0,45693.282,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
71,71,71,Tata Motors,Nexon,Compact SUV,South,868119.13,19.0,200.0,12040812.33,222.0,39.0,9.0,54237.893,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
72,72,72,Tata Motors,Nexon,Compact SUV,East,932746.17,18.0,155.0,12256284.67,99.0,18.0,9.0,123800.855,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
73,73,73,Tata Motors,Nexon,Compact SUV,West,858634.12,15.0,223.0,9402043.61,132.5,57.0,14.0,70958.82,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
74,74,74,Tata Motors,Nexon,Compact SUV,Central,900271.99,11.0,184.0,7229184.08,143.0,39.0,14.0,50553.735,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
75,75,75,Tata Motors,Harrier,SUV,North,1480458.0,11.0,234.0,11888077.74,204.5,,9.0,58132.409,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
76,76,76,Tata Motors,Harrier,SUV,South,1555554.0,7.0,102.0,7948880.94,102.0,19.0,5.0,77930.205,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
77,77,77,Tata Motors,Harrier,SUV,East,1497263.0,9.0,136.0,9837017.91,140.0,51.0,6.0,70264.414,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
78,78,78,Tata Motors,Harrier,SUV,West,1508420.62,10.0,60.0,11011470.53,93.0,54.0,10.0,118402.909,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
79,79,79,Tata Motors,Harrier,SUV,Central,1491188.76,7.0,207.0,7619974.56,196.0,25.0,13.0,38877.421,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
80,80,80,Tata Motors,Safari,MPV,North,1569389.78,10.0,136.0,11456545.39,114.0,27.0,14.0,100496.012,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
81,81,81,Tata Motors,Safari,MPV,South,1581126.22,8.0,153.0,9233777.12,162.0,45.0,10.0,56998.624,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
82,82,82,Tata Motors,Safari,MPV,East,1731507.64,6.0,110.0,7584003.46,77.0,21.0,9.0,98493.551,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
83,83,83,Tata Motors,Safari,MPV,West,1590086.62,,272.0,4643052.93,208.5,34.0,8.0,22268.839,0.02,Winter,1,1,Tuesday,0,0,0,1.0,3
84,84,84,Tata Motors,Safari,MPV,Central,1676884.99,6.0,240.0,7344756.26,173.5,30.0,11.0,42332.889,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
85,85,85,Tata Motors,Nexon EV,Electric SUV,North,1425190.02,7.0,167.0,7282721.0,205.5,31.0,6.0,35439.032,0.01,Winter,1,1,Tuesday,0,0,1,1.0,3
86,86,86,Tata Motors,Nexon EV,Electric SUV,South,1508814.62,8.0,168.0,8811477.38,191.0,24.0,,46133.389,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
87,87,87,Tata Motors,Nexon EV,Electric SUV,East,1512932.93,8.0,221.0,8835528.31,159.5,18.0,9.0,55395.162,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
88,88,88,Tata Motors,Nexon EV,Electric SUV,West,1525595.19,5.0,143.0,5568422.44,194.5,26.0,7.0,28629.421,0.01,Winter,1,1,Tuesday,0,0,0,1.0,3
89,89,89,Tata Motors,Nexon EV,Electric SUV,Central,1532454.32,17.0,278.0,19017758.11,253.0,42.0,10.0,75169.004,0.0,Winter,1,1,Tuesday,0,0,0,1.0,3
90,90,90,Tata Motors,Tiago,Hatchback,North,565001.21,16.0,63.0,6599214.13,87.0,19.0,8.0,75853.036,0.0,Winter,1,1,Wednesday,0,0,0,1.08,4
91,91,91,Tata Motors,Tiago,Hatchback,South,540203.63,17.0,160.0,6703927.05,129.0,45.0,12.0,51968.427,0.01,Winter,1,1,Wednesday,0,0,0,1.08,4
92,92,92,Tata Motors,Tiago,Hatchback,East,563423.42,7.0,246.0,2879093.68,174.5,27.0,5.0,16499.104,0.02,Winter,1,1,Wednesday,0,0,0,1.08,4
93,93,93,Tata Motors,Tiago,Hatchback,West,531310.64,,250.0,5817851.51,211.0,35.0,13.0,27572.756,0.01,Winter,1,1,Wednesday,0,0,0,1.08,4
94,94,94,Tata Motors,Tiago,Hatchback,Central,573400.56,14.0,70.0,5860153.72,121.0,49.0,10.0,48431.022,0.01,Winter,1,1,Wednesday,0,0,1,1.08,4
95,95,95,Tata Motors,Tigor,Sedan,North,720394.41,3.0,53.0,1577663.76,103.0,43.0,13.0,15317.124,0.02,Winter,1,1,Wednesday,0,0,0,1.0,4
96,96,96,Tata Motors,Tigor,Sedan,South,724270.52,12.0,251.0,6344609.76,163.0,47.0,,38923.986,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
97,97,97,Tata Motors,Tigor,Sedan,East,710283.07,9.0,173.0,4666559.77,179.5,25.0,8.0,25997.547,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
98,98,98,Tata Motors,Tigor,Sedan,West,709636.18,14.0,57.0,7252481.76,51.0,47.0,9.0,142205.525,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
99,99,99,Tata Motors,Tigor,Sedan,Central,665355.77,4.0,127.0,1942838.85,144.0,47.0,7.0,13491.936,0.03,Winter,1,1,Wednesday,0,0,1,1.0,4
100,100,100,Tata Motors,Nexon,Compact SUV,North,937749.84,14.0,242.0,9583803.36,204.5,23.0,15.0,46864.564,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
101,101,101,Tata Motors,Nexon,Compact SUV,South,866163.51,16.0,79.0,10116789.8,161.0,37.0,5.0,62837.204,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
102,102,102,Tata Motors,Nexon,Compact SUV,East,892738.93,16.0,110.0,10427190.7,125.0,53.0,11.0,83417.526,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
103,103,103,Tata Motors,Nexon,Compact SUV,West,936403.81,15.0,174.0,10253621.72,175.0,25.0,11.0,58592.124,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
104,104,104,Tata Motors,Nexon,Compact SUV,Central,908889.75,9.0,103.0,5971405.66,142.0,,5.0,42052.153,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
105,105,105,Tata Motors,Harrier,SUV,North,1579090.51,8.0,188.0,9221888.58,216.5,49.0,13.0,42595.328,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
106,106,106,Tata Motors,Harrier,SUV,South,1608394.22,13.0,146.0,15263661.15,121.0,29.0,12.0,126145.96,0.0,Winter,1,1,Wednesday,0,0,1,1.0,4
107,107,107,Tata Motors,Harrier,SUV,East,1511475.56,3.0,189.0,3310131.48,164.5,,8.0,20122.38,0.02,Winter,1,1,Wednesday,0,0,0,1.0,4
108,108,108,Tata Motors,Harrier,SUV,West,1553393.82,5.0,142.0,5669887.44,135.0,20.0,10.0,41999.166,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
109,109,109,Tata Motors,Harrier,SUV,Central,1563894.64,11.0,264.0,12558073.96,234.0,24.0,9.0,53666.983,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
110,110,110,Tata Motors,Safari,MPV,North,1640218.08,4.0,247.0,4789436.79,185.5,46.0,4.0,25819.066,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
111,111,111,Tata Motors,Safari,MPV,South,1626661.48,7.0,,8312240.16,198.5,27.0,15.0,41875.265,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
112,112,112,Tata Motors,Safari,MPV,East,1711952.26,5.0,64.0,6248625.75,111.5,20.0,11.0,56041.487,0.01,Winter,1,1,Wednesday,0,0,0,1.0,4
113,113,113,Tata Motors,Safari,MPV,West,1635317.46,5.0,263.0,5968908.73,172.0,38.0,10.0,34702.958,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
114,114,114,Tata Motors,Safari,MPV,Central,1620845.51,4.0,189.0,4732868.89,128.5,53.0,14.0,36831.665,0.01,Winter,1,1,Wednesday,0,0,1,1.0,4
115,115,115,Tata Motors,Nexon EV,Electric SUV,North,1478819.37,9.0,,9715843.26,105.0,,9.0,92531.841,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
116,116,116,Tata Motors,Nexon EV,Electric SUV,South,1540718.14,11.0,139.0,12371966.66,166.0,49.0,8.0,74529.92,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
117,117,117,Tata Motors,Nexon EV,Electric SUV,East,1490855.04,10.0,193.0,10883241.79,148.5,29.0,10.0,73287.824,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
118,118,118,Tata Motors,Nexon EV,Electric SUV,West,1519123.03,10.0,191.0,11089598.12,127.5,29.0,10.0,86977.24,0.0,Winter,1,1,Wednesday,0,0,1,1.0,4
119,119,119,Tata Motors,Nexon EV,Electric SUV,Central,1500102.95,14.0,239.0,15331052.15,188.5,42.0,6.0,81331.842,0.0,Winter,1,1,Wednesday,0,0,0,1.0,4
120,120,120,Tata Motors,Tiago,Hatchback,North,565101.51,24.0,186.0,9900578.46,204.5,44.0,12.0,48413.587,0.01,Winter,1,1,Thursday,0,0,1,1.08,5
121,121,121,Tata Motors,Tiago,Hatchback,South,528622.13,13.0,272.0,5016624.01,193.0,54.0,8.0,25992.871,0.01,Winter,1,1,Thursday,0,0,0,1.08,5
122,122,122,Tata Motors,Tiago,Hatchback,East,526145.66,10.0,224.0,3840863.32,211.0,24.0,9.0,18203.144,0.02,Winter,1,1,Thursday,0,0,0,1.08,5
123,123,123,Tata Motors,Tiago,Hatchback,West,575996.24,10.0,265.0,4204772.55,256.5,43.0,15.0,16392.875,0.02,Winter,1,1,Thursday,0,0,0,1.08,5
124,124,124,Tata Motors,Tiago,Hatchback,Central,574361.89,17.0,248.0,7127831.05,208.0,51.0,5.0,34268.419,0.01,Winter,1,1,Thursday,0,0,0,1.08,5
125,125,125,Tata Motors,Tigor,Sedan,North,705403.64,5.0,278.0,2574723.29,236.0,47.0,6.0,10909.844,0.03,Winter,1,1,Thursday,0,0,1,1.0,5
126,126,126,Tata Motors,Tigor,Sedan,South,720192.75,7.0,114.0,3680184.95,163.0,50.0,13.0,22577.822,0.02,Winter,1,1,Thursday,0,0,0,1.0,5
127,127,127,Tata Motors,Tigor,Sedan,East,666898.03,10.0,219.0,4868355.62,138.0,47.0,12.0,35277.939,0.01,Winter,1,1,Thursday,0,0,1,1.0,5
128,128,128,Tata Motors,Tigor,Sedan,West,726128.76,,78.0,5830813.94,76.5,20.0,4.0,76219.79,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
129,129,129,Tata Motors,Tigor,Sedan,Central,698614.24,9.0,137.0,4589895.56,88.5,43.0,9.0,51863.227,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
130,130,130,Tata Motors,Nexon,Compact SUV,North,941427.49,14.0,150.0,9621388.95,164.5,18.0,13.0,58488.687,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
131,131,131,Tata Motors,Nexon,Compact SUV,South,873348.66,14.0,57.0,8925623.31,76.5,35.0,9.0,116674.815,0.0,Winter,1,1,Thursday,0,0,1,1.0,5
132,132,132,Tata Motors,Nexon,Compact SUV,East,943778.02,13.0,234.0,8956453.41,203.5,55.0,12.0,44012.056,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
133,133,133,Tata Motors,Nexon,Compact SUV,West,870127.75,15.0,174.0,9527898.86,169.5,41.0,8.0,56211.793,0.01,Winter,1,1,Thursday,0,0,1,1.0,5
134,134,134,Tata Motors,Nexon,Compact SUV,Central,905997.82,15.0,94.0,9920676.13,88.5,54.0,4.0,112098.035,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
135,135,135,Tata Motors,Harrier,SUV,North,1551659.51,,241.0,16990671.63,201.0,28.0,15.0,84530.705,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
136,136,136,Tata Motors,Harrier,SUV,South,1529149.23,5.0,177.0,5581394.69,126.0,,6.0,44296.783,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
137,137,137,Tata Motors,Harrier,SUV,East,1596645.54,5.0,104.0,5827756.22,79.0,19.0,5.0,73769.066,0.0,Winter,1,1,Thursday,0,0,1,1.0,5
138,138,138,Tata Motors,Harrier,SUV,West,1596748.64,8.0,218.0,9325012.06,183.5,42.0,14.0,50817.504,0.01,Winter,1,1,Thursday,0,0,1,1.0,5
139,139,139,Tata Motors,Harrier,SUV,Central,1490049.44,10.0,244.0,10877360.91,156.5,44.0,6.0,69503.904,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
140,140,140,Tata Motors,Safari,MPV,North,1567508.76,0.0,254.0,0.0,198.0,55.0,8.0,0.0,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
141,141,141,Tata Motors,Safari,MPV,South,1576095.27,11.0,119.0,12656045.02,108.0,50.0,6.0,117185.602,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
142,142,142,Tata Motors,Safari,MPV,East,1725670.35,5.0,83.0,6298696.78,116.0,21.0,,54299.11,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
143,143,143,Tata Motors,Safari,MPV,West,1668131.09,9.0,70.0,10959621.26,72.5,30.0,15.0,151167.19,0.0,Winter,1,1,Thursday,0,0,0,1.0,5
144,144,144,Tata Motors,Safari,MPV,Central,1665541.63,6.0,94.0,,105.0,45.0,4.0,69476.879,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
145,145,145,Tata Motors,Nexon EV,Electric SUV,North,1503511.43,14.0,174.0,15365886.81,162.5,31.0,9.0,94559.303,0.0,Winter,1,1,Thursday,0,0,1,1.0,5
146,146,146,Tata Motors,Nexon EV,Electric SUV,South,1515069.51,5.0,120.0,5530003.71,85.5,35.0,11.0,64678.406,0.01,Winter,1,1,Thursday,0,0,1,1.0,5
147,147,147,Tata Motors,Nexon EV,Electric SUV,East,1456893.2,15.0,226.0,15952980.54,212.5,32.0,11.0,75072.85,0.0,Winter,1,1,Thursday,0,0,1,1.0,5
148,148,148,Tata Motors,Nexon EV,Electric SUV,West,1445311.0,9.0,231.0,9495693.27,223.5,31.0,6.0,42486.323,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
149,149,149,Tata Motors,Nexon EV,Electric SUV,Central,1531609.69,10.0,167.0,11180750.74,154.5,27.0,4.0,72367.319,0.01,Winter,1,1,Thursday,0,0,0,1.0,5
